h1;h2;h3;h4;h5;h6;h7;h8
0.585441;0.559505;0.536447;0.510142;0.483167;0.459068;0.433268;0.40506
0.586141;0.559677;0.536791;0.510304;0.482814;0.459068;0.433268;0.405052
0.58668;0.559849;0.537145;0.510648;0.482642;0.459059;0.433268;0.405224
0.586852;0.56001;0.537328;0.511002;0.48247;0.45924;0.433268;0.405388
0.587036;0.560365;0.537339;0.511174;0.482278;0.459231;0.433268;0.405732
0.587059;0.560537;0.537167;0.511356;0.48246;0.459403;0.433259;0.406068
0.586715;0.56072;0.537005;0.511366;0.48245;0.459584;0.43344;0.406592
0.586383;0.56072;0.536672;0.511204;0.482632;0.459575;0.43344;0.406928
0.585867;0.560742;0.536156;0.51085;0.482622;0.459747;0.43344;0.407444
0.585363;0.560387;0.535651;0.510678;0.482794;0.459919;0.43344;0.40796
0.584663;0.560215;0.534963;0.510516;0.482966;0.460091;0.433431;0.408475
0.584147;0.560043;0.534264;0.510172;0.483129;0.460263;0.433612;0.408991
0.583619;0.559871;0.533748;0.509839;0.483473;0.460435;0.433612;0.409507
0.583264;0.559699;0.533232;0.509312;0.483826;0.460607;0.433603;0.410032
0.58308;0.559527;0.532705;0.508968;0.483998;0.460788;0.433775;0.410376
0.58308;0.559366;0.532361;0.508624;0.48417;0.460779;0.433939;0.41072
0.583057;0.559011;0.532007;0.50828;0.484342;0.460951;0.434291;0.411064
0.583389;0.558839;0.531824;0.507926;0.484514;0.461132;0.434472;0.411416
0.583905;0.558667;0.531813;0.507754;0.484677;0.461132;0.434481;0.411588
0.584421;0.558473;0.531975;0.507572;0.48503;0.461132;0.4343;0.411768
0.584949;0.558656;0.532319;0.507582;0.485212;0.461141;0.434309;0.411776
0.585281;0.558645;0.532652;0.50739;0.485212;0.46096;0.434128;0.411604
0.585809;0.558817;0.533168;0.507562;0.485222;0.460969;0.434137;0.411432
0.586164;0.558989;0.533684;0.507734;0.48505;0.460797;0.433965;0.411268
0.586336;0.559161;0.534189;0.507896;0.484868;0.460625;0.433793;0.410924
0.58652;0.559322;0.534888;0.50824;0.484868;0.460453;0.433612;0.41058
0.586532;0.559677;0.535404;0.508584;0.484878;0.460281;0.433612;0.410253
0.58636;0.559849;0.53592;0.508928;0.484715;0.460109;0.433612;0.409548
0.586211;0.56001;0.536447;0.509272;0.484362;0.459946;0.433612;0.409213
0.585695;0.560365;0.536791;0.509616;0.484199;0.459593;0.433621;0.408697
0.585179;0.560548;0.537156;0.50997;0.483855;0.459421;0.43344;0.408074
0.584663;0.560548;0.537156;0.510132;0.483502;0.45924;0.43344;0.409901
0.584147;0.560559;0.537156;0.510486;0.48333;0.459249;0.433431;0.409483
0.583608;0.560387;0.537177;0.510658;0.483148;0.459068;0.433603;0.406804
