Configuration 3:  

(using maxima)

5 - 105 	 T:  0.8778
5 - 106 	 T:  0.877970297029703
5 - 107 	 T:  0.8778921568627451
5 - 108 	 T:  0.8779611650485436
5 - 109 	 T:  0.8779326923076922
5 - 110 	 T:  0.8779523809523809
5 - 111 	 T:  0.8777358490566037
5 - 112 	 T:  0.8778037383177569
5 - 113 	 T:  0.8778703703703704
5 - 114 	 T:  0.8779816513761468
6 - 7 	 T:  0.8949999999999996
6 - 8 	 T:  0.8874999999999997
6 - 9 	 T:  0.8866666666666667
6 - 10 	 T:  0.88375
6 - 11 	 T:  0.882
6 - 12 	 T:  0.8816666666666665
6 - 13 	 T:  0.8807142857142856
6 - 14 	 T:  0.880625
6 - 15 	 T:  0.8811111111111111
6 - 16 	 T:  0.881
6 - 17 	 T:  0.88
6 - 18 	 T:  0.88
6 - 19 	 T:  0.8803846153846154
6 - 20 	 T:  0.88
6 - 21 	 T:  0.88
6 - 22 	 T:  0.879375
6 - 23 	 T:  0.88
6 - 24 	 T:  0.8797222222222223
6 - 25 	 T:  0.8799999999999999
6 - 26 	 T:  0.8797499999999999
6 - 27 	 T:  0.8795238095238095
6 - 28 	 T:  0.8795454545454546
6 - 29 	 T:  0.8791304347826087
6 - 30 	 T:  0.8795833333333333
6 - 31 	 T:  0.8794
6 - 32 	 T:  0.8794230769230769
6 - 33 	 T:  0.8792592592592592
6 - 34 	 T:  0.8792857142857143
6 - 35 	 T:  0.8789655172413793
6 - 36 	 T:  0.8791666666666667
6 - 37 	 T:  0.8793548387096775
6 - 38 	 T:  0.8790625
6 - 39 	 T:  0.8790909090909091
6 - 40 	 T:  0.8791176470588234
6 - 41 	 T:  0.8791428571428571
6 - 42 	 T:  0.8790277777777777
6 - 43 	 T:  0.8800000000000001
6 - 44 	 T:  0.8790789473684211
6 - 45 	 T:  0.8787179487179486
6 - 46 	 T:  0.8788750000000001
6 - 47 	 T:  0.8775609756097562
6 - 48 	 T:  0.8786904761904762
6 - 49 	 T:  0.8788372093023257
6 - 50 	 T:  0.8787500000000001
6 - 51 	 T:  0.8780000000000001
