Configuration 2:  

(using maxima)

1 - 2 	 T:  0.8
10 - 37 	 T:  0.8037037037037037
10 - 38 	 T:  0.8039285714285713
10 - 39 	 T:  0.8041379310344827
10 - 40 	 T:  0.8036666666666666
10 - 41 	 T:  0.8038709677419354
10 - 42 	 T:  0.8037500000000001
10 - 43 	 T:  0.8039393939393938
10 - 44 	 T:  0.8038235294117647
10 - 45 	 T:  0.8037142857142857
10 - 46 	 T:  0.803611111111111
10 - 47 	 T:  0.8037837837837838
10 - 48 	 T:  0.8036842105263159
10 - 49 	 T:  0.8035897435897436
10 - 50 	 T:  0.8035
10 - 51 	 T:  0.8034146341463414
10 - 52 	 T:  0.8035714285714286
11 - 12 	 T:  0.8100000000000005
11 - 13 	 T:  0.8100000000000005
11 - 14 	 T:  0.8066666666666666
11 - 15 	 T:  0.8050000000000002
11 - 16 	 T:  0.8040000000000003
11 - 17 	 T:  0.8033333333333333
11 - 18 	 T:  0.8042857142857144
11 - 19 	 T:  0.8050000000000002
11 - 20 	 T:  0.8044444444444445
11 - 21 	 T:  0.8049999999999999
11 - 22 	 T:  0.8036363636363638
11 - 23 	 T:  0.8041666666666667
11 - 24 	 T:  0.8046153846153845
11 - 25 	 T:  0.8042857142857143
11 - 26 	 T:  0.8046666666666668
11 - 27 	 T:  0.804375
11 - 28 	 T:  0.8041176470588235
11 - 29 	 T:  0.8038888888888889
11 - 30 	 T:  0.8042105263157895
11 - 31 	 T:  0.8039999999999999
11 - 32 	 T:  0.803809523809524
11 - 33 	 T:  0.804090909090909
11 - 34 	 T:  0.803913043478261
11 - 35 	 T:  0.80375
11 - 36 	 T:  0.804
11 - 37 	 T:  0.8038461538461538
11 - 38 	 T:  0.804074074074074
11 - 39 	 T:  0.8042857142857144
11 - 40 	 T:  0.8037931034482759
11 - 41 	 T:  0.8039999999999999
11 - 42 	 T:  0.8038709677419356
11 - 43 	 T:  0.8040624999999999
11 - 44 	 T:  0.803939393939394
11 - 45 	 T:  0.8038235294117646
11 - 46 	 T:  0.8037142857142856
11 - 47 	 T:  0.8038888888888889
11 - 48 	 T:  0.8037837837837838
11 - 49 	 T:  0.8036842105263158
11 - 50 	 T:  0.8035897435897434
11 - 51 	 T:  0.8035
11 - 52 	 T:  0.8036585365853658
12 - 13 	 T:  0.8100000000000005
12 - 14 	 T:  0.8049999999999997
12 - 15 	 T:  0.8033333333333333
12 - 16 	 T:  0.8025000000000002
12 - 17 	 T:  0.8019999999999999
12 - 18 	 T:  0.8033333333333333
12 - 19 	 T:  0.8042857142857144
12 - 20 	 T:  0.80375
12 - 21 	 T:  0.8044444444444443
12 - 22 	 T:  0.8030000000000002
12 - 23 	 T:  0.8036363636363636
12 - 24 	 T:  0.8041666666666666
12 - 25 	 T:  0.8038461538461538
12 - 26 	 T:  0.8042857142857144
12 - 27 	 T:  0.8039999999999999
12 - 28 	 T:  0.80375
12 - 29 	 T:  0.8035294117647059
12 - 30 	 T:  0.8038888888888889
12 - 31 	 T:  0.8036842105263158
12 - 32 	 T:  0.8035
12 - 33 	 T:  0.8038095238095238
12 - 34 	 T:  0.8036363636363636
12 - 35 	 T:  0.8034782608695652
12 - 36 	 T:  0.80375
12 - 37 	 T:  0.8036
12 - 38 	 T:  0.8038461538461538
12 - 39 	 T:  0.804074074074074
12 - 40 	 T:  0.8035714285714286
12 - 41 	 T:  0.8037931034482758
12 - 42 	 T:  0.8036666666666668
12 - 43 	 T:  0.8038709677419354
12 - 44 	 T:  0.8037500000000001
12 - 45 	 T:  0.8036363636363636
12 - 46 	 T:  0.8035294117647058
12 - 47 	 T:  0.8037142857142857
12 - 48 	 T:  0.8036111111111112
12 - 49 	 T:  0.8035135135135135
12 - 50 	 T:  0.8034210526315789
12 - 51 	 T:  0.8033333333333333
12 - 52 	 T:  0.8035
13 - 14 	 T:  0.7999999999999989
13 - 15 	 T:  0.7999999999999998
13 - 16 	 T:  0.8000000000000002
13 - 17 	 T:  0.7999999999999998
13 - 18 	 T:  0.8019999999999999
13 - 19 	 T:  0.8033333333333333
13 - 20 	 T:  0.8028571428571427
13 - 21 	 T:  0.8037499999999997
13 - 22 	 T:  0.8022222222222223
13 - 23 	 T:  0.8029999999999999
13 - 24 	 T:  0.8036363636363635
13 - 25 	 T:  0.8033333333333332
13 - 26 	 T:  0.8038461538461539
13 - 27 	 T:  0.8035714285714285
13 - 28 	 T:  0.8033333333333332
13 - 29 	 T:  0.803125
13 - 30 	 T:  0.8035294117647058
13 - 31 	 T:  0.8033333333333332
13 - 32 	 T:  0.8031578947368421
13 - 33 	 T:  0.8035
13 - 34 	 T:  0.8033333333333332
13 - 35 	 T:  0.8031818181818182
13 - 36 	 T:  0.8034782608695651
13 - 37 	 T:  0.8033333333333333
13 - 38 	 T:  0.8035999999999999
13 - 39 	 T:  0.8038461538461538
13 - 40 	 T:  0.8033333333333332
13 - 41 	 T:  0.8035714285714286
13 - 42 	 T:  0.8034482758620691
13 - 43 	 T:  0.8036666666666666
13 - 44 	 T:  0.8035483870967743
13 - 45 	 T:  0.8034375
13 - 46 	 T:  0.8033333333333332
13 - 47 	 T:  0.8035294117647059
13 - 48 	 T:  0.8034285714285716
13 - 49 	 T:  0.8033333333333333
13 - 50 	 T:  0.8032432432432433
13 - 51 	 T:  0.8031578947368422
13 - 52 	 T:  0.8033333333333333
14 - 15 	 T:  0.8000000000000007
14 - 16 	 T:  0.8000000000000007
14 - 17 	 T:  0.8000000000000002
14 - 18 	 T:  0.8025000000000002
14 - 19 	 T:  0.8040000000000003
14 - 20 	 T:  0.8033333333333333
14 - 21 	 T:  0.8042857142857142
14 - 22 	 T:  0.8025000000000002
14 - 23 	 T:  0.8033333333333333
14 - 24 	 T:  0.8039999999999999
14 - 25 	 T:  0.8036363636363636
14 - 26 	 T:  0.8041666666666668
14 - 27 	 T:  0.8038461538461538
14 - 28 	 T:  0.8035714285714286
14 - 29 	 T:  0.8033333333333333
14 - 30 	 T:  0.80375
14 - 31 	 T:  0.8035294117647059
14 - 32 	 T:  0.8033333333333333
14 - 33 	 T:  0.8036842105263158
14 - 34 	 T:  0.8035
14 - 35 	 T:  0.8033333333333333
14 - 36 	 T:  0.8036363636363636
14 - 37 	 T:  0.8034782608695652
14 - 38 	 T:  0.80375
14 - 39 	 T:  0.804
14 - 40 	 T:  0.8034615384615384
14 - 41 	 T:  0.8037037037037037
14 - 42 	 T:  0.8035714285714287
14 - 43 	 T:  0.8037931034482758
14 - 44 	 T:  0.8036666666666668
14 - 45 	 T:  0.8035483870967742
14 - 46 	 T:  0.8034374999999999
14 - 47 	 T:  0.8036363636363636
14 - 48 	 T:  0.803529411764706
14 - 49 	 T:  0.8034285714285715
14 - 50 	 T:  0.8033333333333332
14 - 51 	 T:  0.8032432432432433
14 - 52 	 T:  0.8034210526315789
15 - 16 	 T:  0.8000000000000007
15 - 17 	 T:  0.7999999999999998
